strategy_id,strategy,baseline_strategy_id
0,Baseline NDP,1
1,Test AFOLU,0
2,Test Energy,0
1001,AFOLU Specific Strategies Start,0
2001,Circular Economy Specific Strategies Start,0
3001,CCSQ: Increase direct air capture,0
3002,CCSQ: Increase direct air capture with renewable energy production,0
3003,ENTC: 95% of electricity is generated by renewables in 2050,0
3004,ENTC: Least cost solution,0
3005,ENTC: Reduce transmission losses,0
3006,ENTC: Reduce transmission losses with renewable energy production,0
3007,FGTV: All Fugitive Emissions transformations,0
3008,FGTV: All Fugitive Emissions transformations with renewable energy production,0
3009,FGTV: Maximize flaring,0
3010,FGTV: Maximize flaring with renewable energy production,0
3011,FGTV: Minimize leaks,0
3012,FGTV: Minimize leaks with renewable energy production,0
3013,INEN: All Industrial Energy transformations,0
3014,INEN: All Industrial Energy transformations with renewable energy production,0
3015,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,0
3016,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,0
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,0
3018,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,0
3019,INEN: Maximize industrial energy efficiency,0
3020,INEN: Maximize industrial energy efficiency with renewable energy production,0
3021,INEN: Maximize industrial production efficiency,0
3022,INEN: Maximize industrial production efficiency with renewable energy production,0
3023,SCOE: All Stationary Combustion and Other Energy transformations,0
3024,SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production,0
3025,SCOE: Increase appliance efficiency,0
3026,SCOE: Increase appliance efficiency with renewable energy production,0
3027,SCOE: Reduce end-use demand for heat energy by improving building shell,0
3028,SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production,0
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",0
3030,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production",0
3031,TRNS: All Transportation transformations,0
3032,TRNS: All Transportation transformations with renewable energy production,0
3033,TRNS: Demand management bundle,0
3034,TRNS: Demand management bundle with renewable energy production,0
3035,TRNS: Efficiency bundle,0
3036,TRNS: Efficiency bundle with renewable energy production,0
3037,TRNS: Electrify light duty road transport,0
3038,TRNS: Electrify light duty road transport with renewable energy production,0
3039,TRNS: Electrify rail,0
3040,TRNS: Electrify rail with renewable energy production,0
3041,TRNS: Fuel switch bundle,0
3042,TRNS: Fuel switch bundle with renewable energy production,0
3043,TRNS: Fuel switch maritime,0
3044,TRNS: Fuel switch maritime with renewable energy production,0
3045,TRNS: Fuel switch medium duty road transport,0
3046,TRNS: Fuel switch medium duty road transport with renewable energy production,0
3047,TRNS: Increase occupancy for private vehicles,0
3048,TRNS: Increase occupancy for private vehicles with renewable energy production,0
3049,TRNS: Increase transportation electricity energy efficiency,0
3050,TRNS: Increase transportation electricity energy efficiency with renewable energy production,0
3051,TRNS: Increase transportation non-electricity energy efficiency,0
3052,TRNS: Increase transportation non-electricity energy efficiency with renewable energy production,0
3053,TRNS: Mode shift bundle,0
3054,TRNS: Mode shift bundle with renewable energy production,0
3055,TRNS: Mode shift freight,0
3056,TRNS: Mode shift freight with renewable energy production,0
3057,TRNS: Mode shift passenger vehicles to others,0
3058,TRNS: Mode shift passenger vehicles to others with renewable energy production,0
3059,TRNS: Mode shift regional passenger travel,0
3060,TRNS: Mode shift regional passenger travel with renewable energy production,0
3061,TRNS: Reduce demand for transport,0
3062,TRNS: Reduce demand for transport with renewable energy production,0
3063,EN: Efficiency bundle,0
3064,EN: Efficiency bundle with renewable energy production,0
3065,EN: Fuel switch bundle,0
3066,EN: Fuel switch bundle with renewable energy production,0
3067,EN: All Energy transformations,0
4001,IPPU Specific Strategies,0
5001,Cross Sectoral Strategies Start,0
