Nation,year,exports_agrc_bevs_and_spices_tonne,exports_agrc_cereals_tonne,exports_agrc_fibers_tonne,exports_agrc_fruits_tonne,exports_agrc_herbs_and_other_perennial_crops_tonne,exports_agrc_nuts_tonne,exports_agrc_other_annual_tonne,exports_agrc_other_woody_perennial_tonne,exports_agrc_pulses_tonne,exports_agrc_rice_tonne,exports_agrc_sugar_cane_tonne,exports_agrc_tubers_tonne,exports_agrc_vegetables_and_vines_tonne,exports_lvst_buffalo,exports_lvst_cattle_dairy,exports_lvst_cattle_nondairy,exports_lvst_chickens,exports_lvst_goats,exports_lvst_horses,exports_lvst_mules,exports_lvst_pigs,exports_lvst_sheep,frac_agrc_crop_demand_imported_bevs_and_spices,frac_agrc_crop_demand_imported_cereals,frac_agrc_crop_demand_imported_fibers,frac_agrc_crop_demand_imported_fruits,frac_agrc_crop_demand_imported_herbs_and_other_perennial_crops,frac_agrc_crop_demand_imported_nuts,frac_agrc_crop_demand_imported_other_annual,frac_agrc_crop_demand_imported_other_woody_perennial,frac_agrc_crop_demand_imported_pulses,frac_agrc_crop_demand_imported_rice,frac_agrc_crop_demand_imported_sugar_cane,frac_agrc_crop_demand_imported_tubers,frac_agrc_crop_demand_imported_vegetables_and_vines,frac_lvst_livestock_demand_imported_buffalo,frac_lvst_livestock_demand_imported_cattle_dairy,frac_lvst_livestock_demand_imported_cattle_nondairy,frac_lvst_livestock_demand_imported_chickens,frac_lvst_livestock_demand_imported_goats,frac_lvst_livestock_demand_imported_horses,frac_lvst_livestock_demand_imported_mules,frac_lvst_livestock_demand_imported_pigs,frac_lvst_livestock_demand_imported_sheep
Argentina,2011,0.9183249623837074,0.5750926202492457,0.2664558823529412,0.16065892490823783,0.0038410596026490066,0.002051641103674125,0.27809251599195656,0.0,0.5165631571225977,0.6521360547359026,0.03589876080113021,0.007859315304342624,0.061097652890460395,0.0,0.0,0.023386634880732712,0.05334572379962953,0.046644274035109956,0.6495537267076776,0.0,0.006133330601758909,0.07689521864993858,0.7980718851514199,0.0006089753258117708,0.026138329317959067,0.05190703323132199,0.0547945205479452,0.0003590523811320069,0.00046604033154122793,0.0,0.002019019160491833,0.020053301714440107,1.13388969521045e-06,0.00018356078171061427,0.004465812034873472,0.0,0.0,0.00041245529902802423,0.0078816738627944,0.0,0.00046397587945166827,0.0,0.02294791604588221,0.0010385472094667902
Argentina,2012,0.9261323876507774,0.7754387642468398,0.3342521367521368,0.15965359688770486,0.0030463576158940397,0.001815911928271479,0.21708293827307132,0.0,0.8482611215588646,0.592810375571753,0.03592250058943825,0.0056479504173033,0.05253261281111619,0.0,0.0,0.02285694057935975,0.0615963702098077,0.006520119225037259,0.000704931506849315,0.0,0.007437884370597777,0.06160850863901295,0.8433444008451555,0.0010463262722826508,0.046183140673981195,0.055598000847014675,0.12760778859527122,0.00016626001645547855,0.0008203834675528578,0.0,0.0115495515587912,0.012632187759034888,1.669079575182964e-05,0.0004341578692902404,0.0016827797342207243,0.0,0.0,0.00012138251433703042,0.006198433021876411,0.0,0.0004662792636042905,0.0,0.008852730773651465,0.0006675069251800718
Argentina,2013,0.9446153470543714,0.5716927792910106,0.15205789473684211,0.1585955909750743,0.0034625116526834465,0.0018981438030680592,0.2152358431881279,0.0,0.40641361885273464,0.5390265720304886,0.04403577790973871,0.017355569829124867,0.06477012414148524,0.0,0.0,0.024285634698162882,0.06908048501768228,0.0021140372070548442,0.7235329601350757,0.0,0.006073017371348793,0.062417928324502575,0.8835502168835502,0.00034033747676049476,0.02646701593459384,0.05828590754105303,0.10038470786246693,9.402337536242173e-05,0.0014652303338445576,0.0,0.03689559497459239,0.011605822966655906,9.873734347599335e-05,0.0003121961396463019,0.0029598087043390623,0.0,0.0,1.163954517249443e-05,0.006356613343133052,0.0,0.0002367519586872787,0.0,0.0024982463365098616,0.000938538337441775
Argentina,2014,0.9157533106678396,0.44007281777547136,0.27103975535168195,0.13914663277084163,0.002145634973850074,0.002566404126474418,0.19012172118306092,0.0,0.48372561413862225,0.4822661866137239,0.00874598183088749,0.005633346712726244,0.05762425409864098,,0.0,0.024060960399223046,0.05654515517885816,0.005164670658682635,0.6998904964074817,0.0,0.0072856053779577715,0.08104860917021428,0.7816697473813925,0.0002769409609522806,0.009387895889522874,0.06305402800376357,0.1091823297019035,4.4782689884942283e-05,0.0004188980058368396,1.0,0.007824551089792447,0.010112565592881623,3.5600108562707304e-05,2.094055589955032e-05,0.00030704283690807945,,0.0,1.1626071235874757e-05,0.005747184689406575,0.0,0.00015177340566857437,0.0,0.0005397978295353332,0.0005331689394301465
Argentina,2015,0.9091201333492083,0.4352106277265475,0.16882838283828386,0.11815575849529109,0.005496715377396434,0.002882979485263804,0.24507564443098634,0.0,0.5158629771802087,0.30046737993873074,0.0311567489114659,0.010541947091637485,0.03589295471036806,,0.0,0.02412579493379482,0.03538993631801924,0.012759994099424693,0.0009872075714244268,0.0,0.007363407273810964,0.07423872404170531,0.21083475050503173,0.00032896795709120186,0.006465891338309321,0.06113635278393806,0.13804322565651872,3.49391428069525e-05,0.0002198420993030947,0.0,0.004223491007586642,0.009633408332393322,9.549177703456465e-05,5.097982154938299e-05,0.0010058876041007631,,0.0,7.570682371670082e-06,0.005060875015963086,0.0,0.0042526883980431585,0.0,0.0005100152674898988,0.0003381031527825251
Argentina,2016,0.9078708573674416,0.6457780248067765,0.20042847945093553,0.14074166383376138,0.0014670578821018938,0.001976463620503399,0.2180768719394028,0.0,0.4774252925911694,0.5675526994065334,0.12219240415621643,0.025542035289687195,0.06834148018044232,,0.0,0.024578727237012554,0.03012525915817503,0.015711009160614204,0.7026348808112044,0.0,0.008625197204501533,0.11758731810699989,0.13685379059977854,0.0006326062886333779,0.017155214159541885,0.07542160311573237,0.061544246678365506,3.0256211551431168e-05,0.01825601031334288,0.0,0.007594868283541749,0.020232676222414248,0.00011019369194169855,0.00613609140536543,0.007621062976301752,,0.0,3.311061575619706e-07,0.00802849008270272,0.0,0.00045594530579213383,0.0,0.0014841041880471464,0.00022487626200439308
Argentina,2017,0.9048594706648025,0.5315575280806293,0.12691153846153846,0.12674378340025136,0.20045224793828145,0.002827780769387286,0.1989930825785389,0.0,0.7902024566314175,0.46034286168786415,0.048025030775543695,0.014591405766953284,0.03179267591630122,,0.0,0.026814165947722613,0.034996351593158115,0.01491507427393597,0.6816350201253303,0.0,0.010675094676717779,0.0723214355316518,0.15993571486413194,0.0013858437693844389,0.012596836001896487,0.08962526376199705,0.12029855114883653,6.16852798044292e-05,0.04121567006346633,0.0,0.01351415968345427,0.018364339795140714,0.00013920697707093006,0.009685611056484066,0.0033653259102033543,,0.0,6.224231512838941e-05,0.005919697643806013,3.7567569502218804e-06,0.00038251264584069435,0.0,0.0022415421249282487,4.970708936159123e-06
Argentina,2018,0.8698969813128893,0.5456172037437077,0.3494066666666667,0.11689810140795669,0.0,0.0044771454396472345,0.1761130517698825,0.0,0.6886660365691188,0.41418659582968137,0.014953814432989689,0.014837992485735453,0.03823987651826241,,0.0,0.028026877744456183,0.025303990679448288,0.0,0.6142300785209984,0.0,0.016335877394868168,0.0668262517085676,0.7365944752989111,0.0011700415892372058,0.01501365106760937,0.06444938856715623,0.2668948655256724,8.908912730836292e-05,0.17086699518593726,1.0,0.04163684408042619,0.011932334994751978,0.00015319557172712938,0.007339520809674066,0.003925198444411877,,0.0,4.568260278899349e-05,0.006428396278115234,1.0946945845896778e-06,0.0003020428657993942,0.0,0.0029109945657718878,0.00030382245168885985
Argentina,2019,0.8651297688921497,0.5900387236510966,0.0,0.09610040236321842,0.36390221955608876,0.004731094707046505,0.18264482819620226,0.0,0.6825699314136386,0.5135154793511196,0.0,0.022273358567673474,0.05836382850196369,,0.0,0.0323673599671256,0.03429124585739487,0.014918307738949003,0.4345971921961655,0.0,0.015765307108100722,0.07079766589128347,0.73579015922208,0.0005223889263559969,0.0,0.06130740388867095,0.2556160056160056,1.4751209783592376e-06,0.091259386325147,1.0,0.030104816010775155,0.017156116536030913,0.0,0.00253321543899954,0.0017308757195759262,,0.0,3.473687323546962e-05,0.0009729919731432197,2.188454172237767e-07,0.0005839995369256224,0.0,0.0019382185238480056,3.896930938144328e-05
Bahamas,2011,0.0,0.0,0.0,0.028258718773188227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3494318181818182,0.0,0.13024628724287426,1.0,1.0,1.0,1.0,0.6526946107784432,0.0,0.0,0.6028404344193818,0.14625175990575526,,0.0,0.0,0.5310287495492537,0.01803194229778465,0.0,0.0,0.05695963787250095,0.0
